# Feed TDS,Temperature,TDS mg/L,Density,Osmotic Pressure
1.775197e-01,3.371500e+02,1.775197e-01,1.106788e+03,1.636326e+07
1.775197e-01,3.381500e+02,1.775197e-01,1.106260e+03,1.639540e+07
1.775197e-01,3.391500e+02,1.775197e-01,1.105730e+03,1.642709e+07
1.775197e-01,3.401500e+02,1.775197e-01,1.105200e+03,1.645835e+07
1.775197e-01,3.411500e+02,1.775197e-01,1.104668e+03,1.648917e+07
1.775197e-01,3.421500e+02,1.775197e-01,1.104135e+03,1.651956e+07
1.775197e-01,3.431500e+02,1.775197e-01,1.103601e+03,1.654951e+07
1.775197e-01,3.441500e+02,1.775197e-01,1.103066e+03,1.657903e+07
1.775197e-01,3.451500e+02,1.775197e-01,1.102529e+03,1.660813e+07
1.775197e-01,3.461500e+02,1.775197e-01,1.101991e+03,1.663680e+07
1.775197e-01,3.471500e+02,1.775197e-01,1.101452e+03,1.666505e+07
1.775197e-01,3.481500e+02,1.775197e-01,1.100912e+03,1.669287e+07
1.775197e-01,3.491500e+02,1.775197e-01,1.100371e+03,1.672028e+07
1.775197e-01,3.501500e+02,1.775197e-01,1.099828e+03,1.674726e+07
1.775197e-01,3.511500e+02,1.775197e-01,1.099285e+03,1.677383e+07
1.775197e-01,3.521500e+02,1.775197e-01,1.098740e+03,1.679998e+07
1.775197e-01,3.531500e+02,1.775197e-01,1.098194e+03,1.682572e+07
1.775197e-01,3.541500e+02,1.775197e-01,1.097647e+03,1.685104e+07
1.775197e-01,3.551500e+02,1.775197e-01,1.097099e+03,1.687595e+07
1.775197e-01,3.561500e+02,1.775197e-01,1.096550e+03,1.690045e+07
1.775197e-01,3.571500e+02,1.775197e-01,1.096001e+03,1.692454e+07
1.775197e-01,3.581500e+02,1.775197e-01,1.095450e+03,1.694822e+07
