,Conc,T,pH,titrantAmount,deltaCalcite,deltaAnhydrite
197,5.0,50.0,8.0,-0.014429673678133338,-1.0658141036401503e-14,1.6128574031881726e-09
198,5.0,50.0,9.0,-0.0027285234067361865,0.0,-1.3673506771283428e-10
199,5.0,50.0,10.000000000000002,-0.011072836904725927,0.0,-4.4231285301066237e-13
200,5.0,60.0,6.000000000000001,0.14298208816308663,-1.5862866575844237e-12,1.3019985090068076e-10
201,5.0,60.0,6.999999999999975,-0.117774811130851,3.560884920261742e-11,-5.587423856923124e-10
202,5.0,60.0,8.0,-0.011908811968053483,-4.618527782440651e-14,1.6697754290362354e-13
203,5.0,60.0,9.000000000000002,-0.0033793098964851613,0.0,-1.84368076361352e-11
204,5.0,60.0,10.0,-0.020527583858680323,-1.7763568394002505e-15,7.371880883511039e-13
205,5.0,70.0,5.999999999999999,0.13591337305362675,-8.72191208145523e-13,1.4519052626837947e-10
206,5.0,70.0,6.999999999999977,-0.10246469484975432,1.893596390800667e-11,-1.5675798437086996e-09
207,5.0,70.0,8.0,-0.010029888583752094,1.4210854715202004e-14,1.9104007265013934e-10
208,5.0,70.0,9.000000000000002,-0.004854461063093251,0.0,3.2091129753553105e-10
209,5.0,70.0,10.0,-0.03615770971751858,-1.7763568394002505e-15,-2.717825964282383e-13
210,5.0,80.0,6.000000000000001,0.1399013908704097,2.4868995751603507e-14,8.787086613892825e-10
211,5.0,80.0,6.999999999999998,-0.09073075969496765,3.979039320256561e-13,-3.552713678800501e-15
212,5.0,80.0,8.0,-0.008708366138441542,3.552713678800501e-15,1.652011860642233e-13
213,5.0,80.0,9.000000000000002,-0.0075520828923797394,-1.7763568394002505e-15,2.2308732638975926e-10
214,5.0,80.0,10.0,-0.06002404473225236,0.0,-2.753353101070388e-13
215,5.0,90.0,6.0,0.1564686682456576,3.907985046680551e-14,1.5139001163788635e-10
216,5.0,90.0,7.0,-0.08168315663415625,7.73248132190929e-12,-3.552713678800501e-15
217,5.0,90.0,8.0,-0.007913296864497285,-5.329070518200751e-15,1.8317081185159623e-10
218,5.0,90.0,9.0,-0.012031721799603384,0.0,3.5073277615538245e-10
219,5.0,90.0,10.0,-0.09320641744451115,-1.7763568394002505e-15,-2.1316282072803006e-13
220,5.0,100.0,6.0,0.18665176435271025,-3.552713678800501e-14,2.225775119768514e-12
221,5.0,100.0,7.0,-0.07472459325108198,3.2951419370874646e-12,-3.552713678800501e-15
222,5.0,100.0,8.0,-0.0076636476938777495,-4.796163466380676e-14,9.88531922985203e-10
223,5.0,100.0,9.0,-0.019000641022222355,-3.552713678800501e-15,9.394263145168225e-11
224,5.0,100.0,10.0,-0.13470239615804336,0.0,-1.0835776720341528e-13
