# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Density,Viscosity
3.256500e+02,1.000000e-02,2.195550e+05,4.264927e+04,9.602355e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.041667e-02,2.195550e+05,4.250827e+04,1.960481e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,3.083333e-02,2.195550e+05,4.236820e+04,2.960726e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,4.125000e-02,2.195550e+05,4.222904e+04,3.960971e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,5.166667e-02,2.195550e+05,4.209080e+04,4.961217e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,6.208333e-02,2.195550e+05,4.195347e+04,5.961462e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,7.250000e-02,2.195550e+05,4.181702e+04,6.961707e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,8.291667e-02,2.195550e+05,4.168146e+04,7.961952e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,9.333333e-02,2.195550e+05,4.154678e+04,8.962198e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.037500e-01,2.195550e+05,4.141296e+04,9.962443e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.141667e-01,2.195550e+05,4.128000e+04,1.096269e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.245833e-01,2.195550e+05,4.114790e+04,1.196293e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.350000e-01,2.195550e+05,4.101663e+04,1.296318e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.454167e-01,2.195550e+05,4.088621e+04,1.396342e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.558333e-01,2.195550e+05,4.075660e+04,1.496367e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.662500e-01,2.195550e+05,4.062782e+04,1.596391e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.766667e-01,2.195550e+05,4.049985e+04,1.696416e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.870833e-01,2.195550e+05,4.037268e+04,1.796441e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,1.975000e-01,2.195550e+05,4.024631e+04,1.896465e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.079167e-01,2.195550e+05,4.012073e+04,1.996490e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.183333e-01,2.195550e+05,3.999593e+04,2.096514e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.287500e-01,2.195550e+05,3.987190e+04,2.196539e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.391667e-01,2.195550e+05,3.974864e+04,2.296563e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.495833e-01,2.195550e+05,3.962614e+04,2.396588e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.256500e+02,2.600000e-01,2.195550e+05,3.950439e+04,2.496612e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.000000e-02,2.422075e+05,4.770248e+04,9.762074e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.041667e-02,2.422075e+05,4.754477e+04,1.993090e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,3.083333e-02,2.422075e+05,4.738811e+04,3.009973e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,4.125000e-02,2.422075e+05,4.723247e+04,4.026856e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,5.166667e-02,2.422075e+05,4.707785e+04,5.043738e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,6.208333e-02,2.422075e+05,4.692424e+04,6.060621e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,7.250000e-02,2.422075e+05,4.677163e+04,7.077504e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,8.291667e-02,2.422075e+05,4.662001e+04,8.094387e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,9.333333e-02,2.422075e+05,4.646936e+04,9.111270e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.037500e-01,2.422075e+05,4.631969e+04,1.012815e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.141667e-01,2.422075e+05,4.617098e+04,1.114504e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.245833e-01,2.422075e+05,4.602322e+04,1.216192e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.350000e-01,2.422075e+05,4.587641e+04,1.317880e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.454167e-01,2.422075e+05,4.573053e+04,1.419568e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.558333e-01,2.422075e+05,4.558557e+04,1.521257e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.662500e-01,2.422075e+05,4.544153e+04,1.622945e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.766667e-01,2.422075e+05,4.529839e+04,1.724633e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.870833e-01,2.422075e+05,4.515616e+04,1.826321e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,1.975000e-01,2.422075e+05,4.501482e+04,1.928010e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.079167e-01,2.422075e+05,4.487435e+04,2.029698e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.183333e-01,2.422075e+05,4.473476e+04,2.131386e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.287500e-01,2.422075e+05,4.459604e+04,2.233075e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.391667e-01,2.422075e+05,4.445818e+04,2.334763e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.495833e-01,2.422075e+05,4.432116e+04,2.436451e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.310667e+02,2.600000e-01,2.422075e+05,4.418499e+04,2.538139e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,1.000000e-02,2.648600e+05,5.311668e+04,9.921794e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,2.041667e-02,2.648600e+05,5.294107e+04,2.025700e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,3.083333e-02,2.648600e+05,5.276662e+04,3.059220e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,4.125000e-02,2.648600e+05,5.259332e+04,4.092740e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,5.166667e-02,2.648600e+05,5.242115e+04,5.126260e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,6.208333e-02,2.648600e+05,5.225011e+04,6.159781e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,7.250000e-02,2.648600e+05,5.208018e+04,7.193301e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,8.291667e-02,2.648600e+05,5.191135e+04,8.226821e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,9.333333e-02,2.648600e+05,5.174361e+04,9.260341e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,1.037500e-01,2.648600e+05,5.157695e+04,1.029386e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,1.141667e-01,2.648600e+05,5.141136e+04,1.132738e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,1.245833e-01,2.648600e+05,5.124683e+04,1.236090e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,1.350000e-01,2.648600e+05,5.108335e+04,1.339442e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.364833e+02,1.454167e-01,2.648600e+05,5.092091e+04,1.442794e+07,1.471871e-09,1.000000e+03,1.055250e-03
